Source,Title,Price,Rating,Link
Amazon,Boldfit,1699.0,4.4,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDAxMTAyMDM0MDM4MDMwOjE3NzY0NTk1OTM6c3BfYXRmOjMwMDg5MTMzNjgyNTczMjo6MDo6&url=%2FBoldfit-Sneakers-Lightweight-Comfortable-DripWave%2Fdp%2FB0FYQP7X25%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.euEXOKJ7yzuaqjQEjAf9THMeT4EfREJq-gd4IroMKcTwj6ZG84wD7yStFd6ixK2-bhwCnXMnWX93Yjz3toNUrwiYbEit4CZ77yGYiFA7ywiq64WTMoedPnpFGk39LuwbsW_6kYQJdmw3659iD_VwUeqo707rPaBH4FU5W-gugvaeQWjHWSJKl92M0yP9ARuTLXeVR7UnINQEbiK2MayC4PaaMpVA3cHdFHBsQqGbm-J21w7F61OePhEDa6oX9d7LnYtHVUyfBBu_b5Dd39-rluG00km118gSuMUcz52xbSA.fC8FRgoc_K7eId-YzpiwMroIJIJ5uWwXv9v96yt6lTU%26dib_tag%3Dse%26keywords%3Dredtape%2Bshoes%26qid%3D1776459593%26sr%3D8-3-spons%26aref%3DQMZldmVUx7%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=QMZldmVUx7&sp_cr=ZAZ
Amazon,Boldfit,1199.0,3.9,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDAxMTAyMDM0MDM4MDMwOjE3NzY0NTk1OTM6c3BfYXRmOjMwMDYyMzg4NzEwNDIzMjo6MDo6&url=%2FBoldfit-Sneakers-Lightweight-Comfortable-StreetFlow%2Fdp%2FB0F948FPJN%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.euEXOKJ7yzuaqjQEjAf9THMeT4EfREJq-gd4IroMKcTwj6ZG84wD7yStFd6ixK2-bhwCnXMnWX93Yjz3toNUrwiYbEit4CZ77yGYiFA7ywiq64WTMoedPnpFGk39LuwbsW_6kYQJdmw3659iD_VwUeqo707rPaBH4FU5W-gugvaeQWjHWSJKl92M0yP9ARuTLXeVR7UnINQEbiK2MayC4PaaMpVA3cHdFHBsQqGbm-J21w7F61OePhEDa6oX9d7LnYtHVUyfBBu_b5Dd39-rluG00km118gSuMUcz52xbSA.fC8FRgoc_K7eId-YzpiwMroIJIJ5uWwXv9v96yt6lTU%26dib_tag%3Dse%26keywords%3Dredtape%2Bshoes%26qid%3D1776459593%26sr%3D8-4-spons%26aref%3DV0aUfywIfQ%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=V0aUfywIfQ&sp_cr=ZAZ
Amazon,Campus,998.0,4.2,https://www.amazon.in/Campus-Men-POD-Sneakers-WHT/dp/B0F4DFFCQM/ref=sr_1_5?dib=eyJ2IjoiMSJ9.euEXOKJ7yzuaqjQEjAf9THMeT4EfREJq-gd4IroMKcTwj6ZG84wD7yStFd6ixK2-bhwCnXMnWX93Yjz3toNUrwiYbEit4CZ77yGYiFA7ywiq64WTMoedPnpFGk39LuwbsW_6kYQJdmw3659iD_VwUeqo707rPaBH4FU5W-gugvaeQWjHWSJKl92M0yP9ARuTLXeVR7UnINQEbiK2MayC4PaaMpVA3cHdFHBsQqGbm-J21w7F61OePhEDa6oX9d7LnYtHVUyfBBu_b5Dd39-rluG00km118gSuMUcz52xbSA.fC8FRgoc_K7eId-YzpiwMroIJIJ5uWwXv9v96yt6lTU&dib_tag=se&keywords=redtape+shoes&qid=1776459593&sr=8-5
Amazon,Red Tape,509.0,4.0,https://www.amazon.in/Red-Tape-Designer-Comfortable-Adjustable/dp/B0CSWPXY5M/ref=sr_1_6?dib=eyJ2IjoiMSJ9.euEXOKJ7yzuaqjQEjAf9THMeT4EfREJq-gd4IroMKcTwj6ZG84wD7yStFd6ixK2-bhwCnXMnWX93Yjz3toNUrwiYbEit4CZ77yGYiFA7ywiq64WTMoedPnpFGk39LuwbsW_6kYQJdmw3659iD_VwUeqo707rPaBH4FU5W-gugvaeQWjHWSJKl92M0yP9ARuTLXeVR7UnINQEbiK2MayC4PaaMpVA3cHdFHBsQqGbm-J21w7F61OePhEDa6oX9d7LnYtHVUyfBBu_b5Dd39-rluG00km118gSuMUcz52xbSA.fC8FRgoc_K7eId-YzpiwMroIJIJ5uWwXv9v96yt6lTU&dib_tag=se&keywords=redtape+shoes&qid=1776459593&sr=8-6
Amazon,ASIAN,674.0,3.7,https://www.amazon.in/ASIAN-TARZAN-04-Sneaker-Synthetic-Lightweight/dp/B0DJD89THD/ref=sr_1_7?dib=eyJ2IjoiMSJ9.euEXOKJ7yzuaqjQEjAf9THMeT4EfREJq-gd4IroMKcTwj6ZG84wD7yStFd6ixK2-bhwCnXMnWX93Yjz3toNUrwiYbEit4CZ77yGYiFA7ywiq64WTMoedPnpFGk39LuwbsW_6kYQJdmw3659iD_VwUeqo707rPaBH4FU5W-gugvaeQWjHWSJKl92M0yP9ARuTLXeVR7UnINQEbiK2MayC4PaaMpVA3cHdFHBsQqGbm-J21w7F61OePhEDa6oX9d7LnYtHVUyfBBu_b5Dd39-rluG00km118gSuMUcz52xbSA.fC8FRgoc_K7eId-YzpiwMroIJIJ5uWwXv9v96yt6lTU&dib_tag=se&keywords=redtape+shoes&qid=1776459593&sr=8-7
Amazon,PUMA,1709.0,4.0,https://www.amazon.in/Puma-Unisex-Adult-Smashic-Black-Matte-Sneaker/dp/B0BSLJ245T/ref=sr_1_8?dib=eyJ2IjoiMSJ9.euEXOKJ7yzuaqjQEjAf9THMeT4EfREJq-gd4IroMKcTwj6ZG84wD7yStFd6ixK2-bhwCnXMnWX93Yjz3toNUrwiYbEit4CZ77yGYiFA7ywiq64WTMoedPnpFGk39LuwbsW_6kYQJdmw3659iD_VwUeqo707rPaBH4FU5W-gugvaeQWjHWSJKl92M0yP9ARuTLXeVR7UnINQEbiK2MayC4PaaMpVA3cHdFHBsQqGbm-J21w7F61OePhEDa6oX9d7LnYtHVUyfBBu_b5Dd39-rluG00km118gSuMUcz52xbSA.fC8FRgoc_K7eId-YzpiwMroIJIJ5uWwXv9v96yt6lTU&dib_tag=se&keywords=redtape+shoes&qid=1776459593&sr=8-8
Amazon,Campus,949.0,4.2,https://www.amazon.in/Campus-Mens-OG-34-Off-Sneakers/dp/B0DQDGB9X4/ref=sr_1_9?dib=eyJ2IjoiMSJ9.euEXOKJ7yzuaqjQEjAf9THMeT4EfREJq-gd4IroMKcTwj6ZG84wD7yStFd6ixK2-bhwCnXMnWX93Yjz3toNUrwiYbEit4CZ77yGYiFA7ywiq64WTMoedPnpFGk39LuwbsW_6kYQJdmw3659iD_VwUeqo707rPaBH4FU5W-gugvaeQWjHWSJKl92M0yP9ARuTLXeVR7UnINQEbiK2MayC4PaaMpVA3cHdFHBsQqGbm-J21w7F61OePhEDa6oX9d7LnYtHVUyfBBu_b5Dd39-rluG00km118gSuMUcz52xbSA.fC8FRgoc_K7eId-YzpiwMroIJIJ5uWwXv9v96yt6lTU&dib_tag=se&keywords=redtape+shoes&qid=1776459593&sr=8-9
Amazon,SPARX,699.0,3.8,https://www.amazon.in/Sparx-SM-4012-White-Sneakers-Men/dp/B0F3P99CC4/ref=sr_1_10?dib=eyJ2IjoiMSJ9.euEXOKJ7yzuaqjQEjAf9THMeT4EfREJq-gd4IroMKcTwj6ZG84wD7yStFd6ixK2-bhwCnXMnWX93Yjz3toNUrwiYbEit4CZ77yGYiFA7ywiq64WTMoedPnpFGk39LuwbsW_6kYQJdmw3659iD_VwUeqo707rPaBH4FU5W-gugvaeQWjHWSJKl92M0yP9ARuTLXeVR7UnINQEbiK2MayC4PaaMpVA3cHdFHBsQqGbm-J21w7F61OePhEDa6oX9d7LnYtHVUyfBBu_b5Dd39-rluG00km118gSuMUcz52xbSA.fC8FRgoc_K7eId-YzpiwMroIJIJ5uWwXv9v96yt6lTU&dib_tag=se&keywords=redtape+shoes&qid=1776459593&sr=8-10
Amazon,Campus,1239.0,4.0,https://www.amazon.in/Campus-Vitality-Off-WHT-D-GRN-Sneakers/dp/B0DCGDTZVR/ref=sr_1_11?dib=eyJ2IjoiMSJ9.euEXOKJ7yzuaqjQEjAf9THMeT4EfREJq-gd4IroMKcTwj6ZG84wD7yStFd6ixK2-bhwCnXMnWX93Yjz3toNUrwiYbEit4CZ77yGYiFA7ywiq64WTMoedPnpFGk39LuwbsW_6kYQJdmw3659iD_VwUeqo707rPaBH4FU5W-gugvaeQWjHWSJKl92M0yP9ARuTLXeVR7UnINQEbiK2MayC4PaaMpVA3cHdFHBsQqGbm-J21w7F61OePhEDa6oX9d7LnYtHVUyfBBu_b5Dd39-rluG00km118gSuMUcz52xbSA.fC8FRgoc_K7eId-YzpiwMroIJIJ5uWwXv9v96yt6lTU&dib_tag=se&keywords=redtape+shoes&qid=1776459593&sr=8-11
Amazon,Red Tape,589.0,4.0,https://www.amazon.in/Red-Tape-Designer-Comfortable-Adjustable/dp/B0CSWMZ4HM/ref=sr_1_12?dib=eyJ2IjoiMSJ9.euEXOKJ7yzuaqjQEjAf9THMeT4EfREJq-gd4IroMKcTwj6ZG84wD7yStFd6ixK2-bhwCnXMnWX93Yjz3toNUrwiYbEit4CZ77yGYiFA7ywiq64WTMoedPnpFGk39LuwbsW_6kYQJdmw3659iD_VwUeqo707rPaBH4FU5W-gugvaeQWjHWSJKl92M0yP9ARuTLXeVR7UnINQEbiK2MayC4PaaMpVA3cHdFHBsQqGbm-J21w7F61OePhEDa6oX9d7LnYtHVUyfBBu_b5Dd39-rluG00km118gSuMUcz52xbSA.fC8FRgoc_K7eId-YzpiwMroIJIJ5uWwXv9v96yt6lTU&dib_tag=se&keywords=redtape+shoes&qid=1776459593&sr=8-12
